appliance,wattage [W],threshold [W],min_on (sec),min_off (sec)
ac_1,1600,50,180,2100
ac_2,1500,50,180,2100
ac_3,1500,50,180,2100
boiler,4200,50,30,600
fridge,350,20,,
washing_machine,2500,50,30,1120
