timestamp,internal_temperature,internal_humidity,external_temperature,external_humidity
2023-09-01 00:00:00,27.8,29.0,24.5,52.0
2023-09-01 00:15:00,27.6,29.0,24.375,53.0
2023-09-01 00:30:00,27.5,29.0,24.25,54.0
2023-09-01 00:45:00,27.5,29.0,24.125,55.0
2023-09-01 01:00:00,27.4,29.0,24.0,56.0
2023-09-01 01:15:00,27.3,29.0,23.9,56.5
2023-09-01 01:30:00,27.2,28.0,23.8,57.0
2023-09-01 01:45:00,27.2,28.0,23.700000000000003,57.5
2023-09-01 02:00:00,27.1,28.0,23.6,58.0
2023-09-01 02:15:00,27.1,28.0,23.525,58.75
2023-09-01 02:30:00,27.0,28.0,23.450000000000003,59.5
2023-09-01 02:45:00,27.0,28.0,23.375,60.25
2023-09-01 03:00:00,26.9,28.0,23.3,61.0
2023-09-01 03:15:00,26.9,28.0,23.225,61.25
2023-09-01 03:30:00,26.9,29.0,23.15,61.5
2023-09-01 03:45:00,26.9,30.0,23.075,61.75
2023-09-01 04:00:00,26.8,29.0,23.0,62.0
2023-09-01 04:15:00,26.9,30.0,23.125,61.75
2023-09-01 04:30:00,26.8,29.0,23.25,61.5
2023-09-01 04:45:00,26.9,28.0,23.375,61.25
2023-09-01 05:00:00,27.3,28.0,23.5,61.0
2023-09-01 05:15:00,27.8,30.0,23.95,58.5
2023-09-01 05:30:00,28.2,30.0,24.4,56.0
2023-09-01 05:45:00,28.5,31.0,24.85,53.5
2023-09-01 06:00:00,28.7,31.0,25.3,51.0
2023-09-01 06:15:00,28.8,31.0,25.775,48.25
2023-09-01 06:30:00,28.9,32.0,26.25,45.5
2023-09-01 06:45:00,29.0,32.0,26.725,42.75
2023-09-01 07:00:00,29.1,32.0,27.2,40.0
2023-09-01 07:15:00,29.1,32.0,27.525,39.0
2023-09-01 07:30:00,29.1,32.0,27.85,38.0
2023-09-01 07:45:00,29.1,33.0,28.175,37.0
2023-09-01 08:00:00,28.9,33.0,28.5,36.0
2023-09-01 08:15:00,28.7,31.0,28.8,35.25
2023-09-01 08:30:00,28.5,30.0,29.1,34.5
2023-09-01 08:45:00,28.7,32.0,29.4,33.75
2023-09-01 09:00:00,28.9,33.0,29.7,33.0
2023-09-01 09:15:00,29.0,33.0,29.825,33.25
2023-09-01 09:30:00,29.1,34.0,29.95,33.5
2023-09-01 09:45:00,29.1,34.0,30.075,33.75
2023-09-01 10:00:00,29.1,34.0,30.2,34.0
2023-09-01 10:15:00,29.2,35.0,30.325,33.75
2023-09-01 10:30:00,29.1,35.0,30.45,33.5
2023-09-01 10:45:00,29.2,35.0,30.575,33.25
2023-09-01 11:00:00,29.2,36.0,30.7,33.0
2023-09-01 11:15:00,29.2,36.0,30.775,32.75
2023-09-01 11:30:00,29.2,36.0,30.85,32.5
2023-09-01 11:45:00,29.3,36.0,30.925,32.25
2023-09-01 12:00:00,29.3,36.0,31.0,32.0
2023-09-01 12:15:00,29.3,36.0,30.9,32.25
2023-09-01 12:30:00,29.3,36.0,30.8,32.5
2023-09-01 12:45:00,29.3,36.0,30.700000000000003,32.75
2023-09-01 13:00:00,29.3,36.0,30.6,33.0
2023-09-01 13:15:00,29.3,36.0,30.450000000000003,33.75
2023-09-01 13:30:00,29.3,36.0,30.3,34.5
2023-09-01 13:45:00,29.3,36.0,30.15,35.25
2023-09-01 14:00:00,29.3,35.0,30.0,36.0
2023-09-01 14:15:00,29.3,35.0,29.9,36.5
2023-09-01 14:30:00,29.3,35.0,29.8,37.0
2023-09-01 14:45:00,29.3,37.0,29.700000000000003,37.5
2023-09-01 15:00:00,29.3,36.0,29.6,38.0
2023-09-01 15:15:00,29.3,35.0,29.4,39.0
2023-09-01 15:30:00,29.2,35.0,29.200000000000003,40.0
2023-09-01 15:45:00,29.3,34.0,29.0,41.0
2023-09-01 16:00:00,29.3,34.0,28.8,42.0
2023-09-01 16:15:00,29.2,33.0,28.575,43.25
2023-09-01 16:30:00,29.2,32.0,28.35,44.5
2023-09-01 16:45:00,29.2,32.0,28.125,45.75
2023-09-01 17:00:00,29.2,31.0,27.9,47.0
2023-09-01 17:15:00,29.1,31.0,27.675,48.5
2023-09-01 17:30:00,29.1,31.0,27.45,50.0
2023-09-01 17:45:00,29.2,31.0,27.225,51.5
2023-09-01 18:00:00,29.3,31.0,27.0,53.0
2023-09-01 18:15:00,29.0,29.0,26.925,53.0
2023-09-01 18:30:00,28.6,28.0,26.85,53.0
2023-09-01 18:45:00,28.4,28.0,26.775,53.0
2023-09-01 19:00:00,28.1,27.0,26.7,53.0
2023-09-01 19:15:00,28.0,27.0,26.525,54.0
2023-09-01 19:30:00,27.9,27.0,26.35,55.0
2023-09-01 19:45:00,27.8,27.0,26.175,56.0
2023-09-01 20:00:00,27.7,27.0,26.0,57.0
2023-09-01 20:15:00,27.6,27.0,25.8,58.25
2023-09-01 20:30:00,27.5,27.0,25.6,59.5
2023-09-01 20:45:00,27.4,27.0,25.4,60.75
2023-09-01 21:00:00,27.3,27.0,25.2,62.0
2023-09-01 21:15:00,27.3,27.0,25.1,62.5
2023-09-01 21:30:00,27.2,27.0,25.0,63.0
2023-09-01 21:45:00,27.2,27.0,24.9,63.5
2023-09-01 22:00:00,27.1,27.0,24.8,64.0
