timestamp,internal_temperature,internal_humidity,external_temparature,external_humidity
2022-10-01 00:00:00,25.8,43.0,21.64,53.0
2022-10-01 00:15:00,25.7,43.0,21.4675,53.75
2022-10-01 00:30:00,25.7,43.0,21.295,54.5
2022-10-01 00:45:00,25.6,43.0,21.1225,55.25
2022-10-01 01:00:00,25.6,43.0,20.95,56.0
2022-10-01 01:15:00,25.6,43.0,20.9375,56.0
2022-10-01 01:30:00,25.5,42.0,20.924999999999997,56.0
2022-10-01 01:45:00,25.5,43.0,20.912499999999998,56.0
2022-10-01 02:00:00,25.5,42.0,20.9,56.0
2022-10-01 02:15:00,25.4,42.0,20.8925,56.25
2022-10-01 02:30:00,25.4,42.0,20.884999999999998,56.5
2022-10-01 02:45:00,25.4,42.0,20.8775,56.75
2022-10-01 03:00:00,25.3,42.0,20.87,57.0
2022-10-01 03:15:00,25.3,43.0,20.817500000000003,57.75
2022-10-01 03:30:00,25.3,43.0,20.765,58.5
2022-10-01 03:45:00,25.3,43.0,20.7125,59.25
2022-10-01 04:00:00,25.2,43.0,20.66,60.0
2022-10-01 04:15:00,25.3,42.0,20.8775,59.75
2022-10-01 04:30:00,25.3,42.0,21.095,59.5
2022-10-01 04:45:00,25.3,42.0,21.3125,59.25
2022-10-01 05:00:00,25.4,42.0,21.53,59.0
2022-10-01 05:15:00,25.5,42.0,22.1525,58.0
2022-10-01 05:30:00,25.8,42.0,22.775,57.0
2022-10-01 05:45:00,26.1,43.0,23.3975,56.0
2022-10-01 06:00:00,26.4,43.0,24.02,55.0
2022-10-01 06:15:00,26.6,44.0,24.5,54.5
2022-10-01 06:30:00,26.7,45.0,24.98,54.0
2022-10-01 06:45:00,26.8,45.0,25.46,53.5
2022-10-01 07:00:00,27.0,45.0,25.94,53.0
2022-10-01 07:15:00,27.1,45.0,26.3575,52.5
2022-10-01 07:30:00,27.1,46.0,26.775,52.0
2022-10-01 07:45:00,27.1,47.0,27.1925,51.5
2022-10-01 08:00:00,27.1,48.0,27.61,51.0
2022-10-01 08:15:00,27.1,50.0,27.88,51.0
2022-10-01 08:30:00,27.1,52.0,28.15,51.0
2022-10-01 08:45:00,26.8,51.0,28.42,51.0
2022-10-01 09:00:00,26.0,47.0,28.69,51.0
2022-10-01 09:15:00,26.1,47.0,29.0625,49.5
2022-10-01 09:30:00,26.4,47.0,29.435000000000002,48.0
2022-10-01 09:45:00,26.5,48.0,29.8075,46.5
2022-10-01 10:00:00,26.6,48.0,30.18,45.0
2022-10-01 10:15:00,26.7,48.0,30.4125,44.5
2022-10-01 10:30:00,26.7,49.0,30.645,44.0
2022-10-01 10:45:00,26.7,49.0,30.877499999999998,43.5
2022-10-01 11:00:00,26.7,49.0,31.11,43.0
2022-10-01 11:15:00,26.8,49.0,31.11,42.75
2022-10-01 11:30:00,26.8,49.0,31.11,42.5
2022-10-01 11:45:00,26.8,49.0,31.11,42.25
2022-10-01 12:00:00,26.8,49.0,31.11,42.0
2022-10-01 12:15:00,26.8,49.0,30.9425,42.5
2022-10-01 12:30:00,26.8,49.0,30.775,43.0
2022-10-01 12:45:00,26.8,50.0,30.6075,43.5
2022-10-01 13:00:00,26.9,50.0,30.44,44.0
2022-10-01 13:15:00,26.9,50.0,30.3525,44.0
2022-10-01 13:30:00,26.8,50.0,30.265,44.0
2022-10-01 13:45:00,26.9,50.0,30.177500000000002,44.0
2022-10-01 14:00:00,26.9,50.0,30.09,44.0
2022-10-01 14:15:00,26.9,53.0,29.72,45.25
2022-10-01 14:30:00,27.0,55.0,29.35,46.5
2022-10-01 14:45:00,26.5,53.0,28.98,47.75
2022-10-01 15:00:00,25.8,48.0,28.61,49.0
2022-10-01 15:15:00,25.3,44.0,28.1425,50.5
2022-10-01 15:30:00,25.0,42.0,27.674999999999997,52.0
2022-10-01 15:45:00,24.8,40.0,27.2075,53.5
2022-10-01 16:00:00,24.7,41.0,26.74,55.0
2022-10-01 16:15:00,24.6,43.0,26.509999999999998,55.75
2022-10-01 16:30:00,24.6,44.0,26.28,56.5
2022-10-01 16:45:00,24.5,44.0,26.05,57.25
2022-10-01 17:00:00,24.4,44.0,25.82,58.0
2022-10-01 17:15:00,24.5,46.0,25.6175,59.0
2022-10-01 17:30:00,25.2,49.0,25.415,60.0
2022-10-01 17:45:00,25.7,49.0,25.212500000000002,61.0
2022-10-01 18:00:00,25.9,50.0,25.01,62.0
2022-10-01 18:15:00,26.1,50.0,24.880000000000003,63.0
2022-10-01 18:30:00,26.2,50.0,24.75,64.0
2022-10-01 18:45:00,26.2,52.0,24.619999999999997,65.0
2022-10-01 19:00:00,25.9,51.0,24.49,66.0
2022-10-01 19:15:00,25.7,50.0,24.279999999999998,67.25
2022-10-01 19:30:00,25.6,51.0,24.07,68.5
2022-10-01 19:45:00,25.5,51.0,23.86,69.75
2022-10-01 20:00:00,25.5,50.0,23.65,71.0
2022-10-01 20:15:00,25.4,49.0,23.56,71.5
2022-10-01 20:30:00,25.3,49.0,23.47,72.0
2022-10-01 20:45:00,25.2,48.0,23.38,72.5
2022-10-01 21:00:00,25.0,45.0,23.29,73.0
2022-10-01 21:15:00,25.2,47.0,23.24,73.75
2022-10-01 21:30:00,25.5,47.0,23.189999999999998,74.5
2022-10-01 21:45:00,25.8,47.0,23.14,75.25
2022-10-01 22:00:00,25.9,48.0,23.09,76.0
2022-10-01 22:15:00,25.9,48.0,23.085,76.5
2022-10-01 22:30:00,26.0,48.0,23.08,77.0
2022-10-01 22:45:00,26.1,48.0,23.075,77.5
2022-10-01 23:00:00,26.1,48.0,23.07,78.0
2022-10-01 23:15:00,26.2,48.0,22.975,78.25
2022-10-01 23:30:00,26.2,49.0,22.880000000000003,78.5
2022-10-01 23:45:00,26.2,49.0,22.785,78.75
2022-10-02 00:00:00,26.2,49.0,22.69,79.0
2022-10-02 00:15:00,26.3,49.0,22.665,79.25
2022-10-02 00:30:00,26.3,50.0,22.64,79.5
2022-10-02 00:45:00,26.3,50.0,22.615000000000002,79.75
2022-10-02 01:00:00,26.3,50.0,22.59,80.0
2022-10-02 01:15:00,26.3,54.0,22.72,79.75
2022-10-02 01:30:00,26.1,57.0,22.85,79.5
2022-10-02 01:45:00,26.1,58.0,22.98,79.25
2022-10-02 02:00:00,26.0,58.0,23.11,79.0
2022-10-02 02:15:00,26.0,59.0,23.2725,77.75
2022-10-02 02:30:00,26.0,60.0,23.435000000000002,76.5
2022-10-02 02:45:00,26.0,61.0,23.5975,75.25
2022-10-02 03:00:00,26.0,59.0,23.76,74.0
2022-10-02 03:15:00,26.0,57.0,23.865000000000002,69.25
2022-10-02 03:30:00,26.1,53.0,23.97,64.5
2022-10-02 03:45:00,26.0,50.0,24.075,59.75
2022-10-02 04:00:00,26.0,48.0,24.18,55.0
2022-10-02 04:15:00,26.0,48.0,24.189999999999998,54.0
2022-10-02 04:30:00,26.0,47.0,24.2,53.0
2022-10-02 04:45:00,26.0,45.0,24.21,52.0
2022-10-02 05:00:00,25.9,45.0,24.22,51.0
2022-10-02 05:15:00,26.2,43.0,24.155,52.25
2022-10-02 05:30:00,26.7,42.0,24.09,53.5
2022-10-02 05:45:00,26.9,44.0,24.025,54.75
2022-10-02 06:00:00,27.0,46.0,23.96,56.0
2022-10-02 06:15:00,27.2,46.0,24.3675,53.5
2022-10-02 06:30:00,27.4,45.0,24.775,51.0
2022-10-02 06:45:00,27.6,44.0,25.1825,48.5
2022-10-02 07:00:00,27.7,43.0,25.59,46.0
2022-10-02 07:15:00,27.8,41.0,25.7875,45.25
2022-10-02 07:30:00,27.8,39.0,25.985,44.5
2022-10-02 07:45:00,27.8,39.0,26.182499999999997,43.75
2022-10-02 08:00:00,27.7,37.0,26.38,43.0
2022-10-02 08:15:00,27.7,36.0,26.59,42.0
2022-10-02 08:30:00,27.6,35.0,26.799999999999997,41.0
2022-10-02 08:45:00,27.5,34.0,27.009999999999998,40.0
2022-10-02 09:00:00,27.5,33.0,27.22,39.0
2022-10-02 09:15:00,27.5,34.0,27.3175,38.25
2022-10-02 09:30:00,27.4,35.0,27.415,37.5
2022-10-02 09:45:00,27.3,35.0,27.5125,36.75
2022-10-02 10:00:00,27.3,33.0,27.61,36.0
2022-10-02 10:15:00,27.2,32.0,27.7075,36.25
2022-10-02 10:30:00,27.2,31.0,27.805,36.5
2022-10-02 10:45:00,27.2,31.0,27.9025,36.75
2022-10-02 11:00:00,27.2,31.0,28.0,37.0
2022-10-02 11:15:00,27.3,32.0,28.105,36.0
2022-10-02 11:30:00,27.3,33.0,28.21,35.0
2022-10-02 11:45:00,27.4,36.0,28.315,34.0
2022-10-02 12:00:00,27.5,32.0,28.42,33.0
2022-10-02 12:15:00,27.4,28.0,28.455000000000002,32.0
2022-10-02 12:30:00,27.5,29.0,28.490000000000002,31.0
2022-10-02 12:45:00,27.5,29.0,28.525,30.0
2022-10-02 13:00:00,27.5,29.0,28.56,29.0
2022-10-02 13:15:00,27.5,27.0,28.5475,29.25
2022-10-02 13:30:00,27.5,26.0,28.535,29.5
2022-10-02 13:45:00,27.6,26.0,28.5225,29.75
2022-10-02 14:00:00,27.6,25.0,28.51,30.0
2022-10-02 14:15:00,27.6,27.0,28.195,31.25
2022-10-02 14:30:00,27.6,27.0,27.880000000000003,32.5
2022-10-02 14:45:00,27.5,28.0,27.565,33.75
2022-10-02 15:00:00,27.5,28.0,27.25,35.0
2022-10-02 15:15:00,27.5,29.0,26.9725,35.0
2022-10-02 15:30:00,27.5,30.0,26.695,35.0
2022-10-02 15:45:00,27.5,31.0,26.4175,35.0
2022-10-02 16:00:00,27.5,31.0,26.14,35.0
